Fecha;Descripcion es;Descripcion eu;Lugar es;Lugar eu;Provincia;Codigo Eustat;Latitud;Longitud
30/11/2016;San Andrés  ;San Andres  ;Sukarrieta  ;Sukarrieta  ;Bizkaia;76;43,395342;-2,696367
29/06/2016;San Pedro;San Pedro;Trucios-Turtzioz  ;Trucios-Turtzioz  ;Bizkaia;87;43,272678;-3,288545
24/06/2016;San Juan;San Juan;Ubide  ;Ubide  ;Bizkaia;88;43,026832;-2,688209
08/09/2016;Nuestra Señora de Udiarraga  ;Udiarragako Andra Maria  ;Ugao-Miraballes  ;Ugao-Miraballes  ;Bizkaia;65;43,179989;-2,902508
08/09/2016;Andra Maria;Andra Maria;Urduliz  ;Urduliz  ;Bizkaia;89;43,379667;-2,962000
09/05/2016;Otxomaio  ;Otxomaio  ;Urduña-Orduña  ;Urduña-Orduña  ;Bizkaia;74;42,994449;-3,009622
08/08/2016;Transfiguración del Señor;Jaungoikoaren antzaldatzea;Valle de Trápaga-Trapagaran  ;Valle de Trápaga-Trapagaran  ;Bizkaia;80;43,303108;-3,035548
08/07/2016;San Andrés;San Andres;Zaldibar  ;Zaldibar  ;Bizkaia;95;43,170970;-2,547130
03/10/2016;Día de Gangas  ;Mahuka Eguna  ;Zalla  ;Zalla  ;Bizkaia;96;43,214009;-3,135223
11/11/2016;San Martín  ;San Martin;Zamudio  ;Zamudio  ;Bizkaia;905;43,283333;-2,866667
10/08/2016;San Lorenzo  ;San Lorentzo  ;Zaratamo  ;Zaratamo  ;Bizkaia;97;43,211505;-2,873626
16/08/2016;San Roque;Roke Deuna;Zeanuri  ;Zeanuri  ;Bizkaia;24;43,099664;-2,749615
02/09/2016;San Antolín  ;San Antolin  ;Zeberio  ;Zeberio  ;Bizkaia;25;43,152778;-2,852778
17/10/2016;Día de la Independencia de Zierbena  ;Zierbenako Independentziaren Eguna  ;Zierbena  ;Zierbena  ;Bizkaia;913;43,347655;-3,086152
24/06/2016;San Juan;San Juan;Ziortza-Bolibar  ;Ziortza-Bolibar  ;Bizkaia;915;43,249820;-2,550174
24/06/2016;San Juan;San Juan;Abaltzisketa  ;Abaltzisketa  ;Gipuzkoa;1;43,047582;-2,105388
12/08/2016;Fiestas de la Virgen;Ama Birjin jaiak;Aduna  ;Aduna  ;Gipuzkoa;2;43,203792;-2,050079
10/08/2016;San Lorenzo;San Lorentzo;Aia  ;Aia  ;Gipuzkoa;16;43,236922;-2,149008
29/09/2016;San Miguel  ;San Migel;Aizarnazabal  ;Aizarnazabal  ;Gipuzkoa;3;43,255405;-2,236461
16/08/2016;Asunción de la Virgen;Jasokundeko Andra Mariren jaiak;Albiztur  ;Albiztur  ;Gipuzkoa;4;43,129723;-2,137180
16/07/2016;La Virgen del Carmen  ;Karmen eguna;Alegia  ;Alegia  ;Gipuzkoa;5;43,100017;-2,096273
08/09/2016;Zaindariaren jaiak;Zaindariaren jaiak;Alkiza  ;Alkiza  ;Gipuzkoa;6;43,172434;-2,109436
29/09/2016;San Miguel  ;San Migel;Altzaga  ;Altzaga  ;Gipuzkoa;906;43,064490;-2,153833
08/02/2016;Lunes Carnaval  ;Iñauterietako astelehena;Altzo  ;Altzo  ;Gipuzkoa;7;43,100072;-2,083905
24/08/2016;San Bartolome  ;San Bartolome;Amezketa  ;Amezketa  ;Gipuzkoa;8;43,044517;-2,083235
24/06/2016;San Juan;San Juan;Andoain  ;Andoain  ;Gipuzkoa;9;43,220480;-2,021122
26/05/2016;Corpus Christi  ;Gorpuzti-eguna;Anoeta  ;Anoeta  ;Gipuzkoa;10;43,161467;-2,070695
15/07/2016;Viernes anterior al 3er domingo julio  ;Uztailaren 3. igandearen aurreko ostirala Viernes anterior al 3er domingo julio  ;Antzuola  ;Antzuola  ;Gipuzkoa;11;43,099441;-2,381747
11/11/2016;San Martín  ;San Martin;Arama  ;Arama  ;Gipuzkoa;12;43,063637;-2,165558
16/08/2016;Andra Mari;Andramaixak;Aretxabaleta  ;Aretxabaleta  ;Gipuzkoa;13;43,036248;-2,504542
24/06/2016;San Juan;San Juan;Arrasate-Mondragon  ;Arrasate-Mondragon  ;Gipuzkoa;55;43,066517;-2,487562
29/06/2016;San Pedro  ;San Pedro;Asteasu  ;Asteasu  ;Gipuzkoa;14;43,195198;-2,097548
26/07/2016;Santa Ana  ;Santa Ana  ;Astigarraga  ;Astigarraga  ;Gipuzkoa;903;43,280652;-1,947560
11/11/2016;San Martín  ;San Martín;Ataun - Bº San Martin  ;Ataun - San Martin auzoa  ;Gipuzkoa;15;43,005480;-2,176620
03/09/2016;San Gregorio  ;San Gregorio  ;Ataun - Bº San Gregorio  ;Ataun - San Gregorio auzoa  ;Gipuzkoa;15;42,978091;-2,180286
02/07/2016;Santa Isabel  ;Santa Isabel  ;Ataun - Bº de Aia  ;Ataun - Aia auzoa  ;Gipuzkoa;15;42,966249;-2,154330
30/11/2016;San Andrés  ;San Andres;Azkoitia  ;Azkoitia  ;Gipuzkoa;17;43,178205;-2,311640
20/01/2016;San Sebastián  ;San Sebastian;Azpeitia  ;Azpeitia  ;Gipuzkoa;18;43,183900;-2,265466
16/08/2016;San Isidro;San Isidro;Baliarrain  ;Baliarrain  ;Gipuzkoa;904;43,069306;-2,129235
09/05/2016;San Martin de Loinaz;Loinatz bigarrena;Beasain  ;Beasain  ;Gipuzkoa;19;43,047076;-2,204605
29/06/2016;San Pedro;San Pedro;Beizama  ;Beizama  ;Gipuzkoa;20;43,134191;-2,200113
24/06/2016;San Juan;San Juan;Belaunza  ;Belaunza  ;Gipuzkoa;21;43,135283;-2,050705
10/08/2016;San Lorenzo  ;San Lorentzo;Berastegi  ;Berastegi  ;Gipuzkoa;22;43,124029;-1,979426
16/09/2016;San Martín de Agirre;San Martin Agirre;Bergara  ;Bergara  ;Gipuzkoa;74;43,118217;-2,413358
29/08/2016;Siguiente a San Agustín  ;San Agustin biharamuna;Berrobi  ;Berrobi  ;Gipuzkoa;23;43,145479;-2,026374
16/08/2016;La Virgen;Ama Birjina;Bidegoian  - Goiatz  ;Bidegoian  - Goiatz  ;Gipuzkoa;24;43,142086;-2,167475
24/08/2016;San Bartolomé;San Bartolome;Bidegoian - Bidania  ;Bidegoian - Bidania  ;Gipuzkoa;24;43,139399;-2,159979
16/08/2016;San Roque;San Roke;Deba  ;Deba  ;Gipuzkoa;29;43,295562;-2,353894
20/01/2016;San Sebastián  ;San Sebastian;Donostia-San Sebastian  ;Donostia-San Sebastian  ;Gipuzkoa;69;43,321874;-1,985520
24/06/2016;San Juan;San Juan;Eibar  ;Eibar  ;Gipuzkoa;30;43,184180;-2,473289
08/09/2016;La Natividad de la Virgen  ;Birjinaren jaiotza;Elduaien  ;Elduaien  ;Gipuzkoa;31;43,140712;-2,000488
01/07/2016;Viernes fiestas Feria Principal;Ferixa Nagusiko jaietako ostirala;Elgeta  ;Elgeta  ;Gipuzkoa;33;43,136572;-2,487392
18/01/2016;Siguiente a San Antón  ;San Anton biharamuna;Elgoibar  ;Elgoibar  ;Gipuzkoa;32;43,215187;-2,415702
22/07/2016;María Magdalena  ;Madalena;Errenteria  ;Errenteria  ;Gipuzkoa;67;43,312752;-1,899633
13/06/2016;Fiesta local;Tokiko jaieguna;Errezil  ;Errezil  ;Gipuzkoa;66;43,164674;-2,173594
29/06/2016;San Pedro;San Pedro;Eskoriatza  ;Eskoriatza  ;Gipuzkoa;34;43,017074;-2,526980
09/05/2016;Aparicion de S. Miguel;S. Migelen Ageraldia;Ezkio-Itsaso - Ezkio  ;Ezkio-Itsaso - Ezkio  ;Gipuzkoa;35;43,080484;-2,275421
29/06/2016;San Pedro;San Pedro;Ezkio-Itsaso - Sta. Lutzi-Anduaga;Ezkio-Itsaso - Sta. Lutzi-Anduaga;Gipuzkoa;35;43,064321;-2,274735
22/07/2016;Maria Madalena;Madalena;Ezkio-Itsaso - Alegia ;Ezkio-Itsaso - Alegia ;Gipuzkoa;35;43,058055;-2,268215
24/08/2016;San Bartolomé  ;San Bartolome;Ezkio-Itsaso - Itsaso  ;Ezkio-Itsaso - Itsaso  ;Gipuzkoa;35;43,072544;-2,257418
16/08/2016;San Roque  ;San Roke;Gabiria  ;Gabiria  ;Gipuzkoa;38;43,049689;-2,279856
29/09/2016;San Miguel  ;San Migel;Gaintza  ;Gaintza  ;Gipuzkoa;37;43,052629;-2,132370
16/08/2016;La Virgen;Andra Mari;Gaztelu  ;Gaztelu  ;Gipuzkoa;907;43,116579;-2,022278
08/08/2016;San Salvador  ;San Salbador;Getaria  ;Getaria  ;Gipuzkoa;39;43,303261;-2,204363
24/06/2016;San Juan;San Juan;Hernani  ;Hernani  ;Gipuzkoa;40;43,267549;-1,975814
16/08/2016;La Virgen;Andra Mari;Hernialde  ;Hernialde  ;Gipuzkoa;41;43,154467;-2,085025
08/09/2016;Virgen de Guadalupe  ;Guadalupeko Ama Birjina;Hondarribia  ;Hondarribia  ;Gipuzkoa;36;43,362531;-1,791498
24/08/2016;San Bartolomé  ;San Bartolome;Ibarra  ;Ibarra  ;Gipuzkoa;42;43,132345;-2,065462
03/02/2016;San Blas  ;San Blas biharamuna;Idiazabal  ;Idiazabal  ;Gipuzkoa;43;43,011782;-2,234214
10/08/2016;San Lorenzo;San Lorentzo;Ikaztegieta  ;Ikaztegieta  ;Gipuzkoa;44;43,094960;-2,123900
30/06/2016;San Marcial;San Martzial;Irun  ;Irun  ;Gipuzkoa;45;43,338233;-1,789272
29/09/2016;San Miguel  ;San Migel;Irura  ;Irura  ;Gipuzkoa;46;43,165688;-2,069616
16/09/2016;Fiestas de septiembre;Iraileko jaiak;Itsasondo  ;Itsasondo  ;Gipuzkoa;47;43,066932;-2,167393
03/08/2016;San Esteban  ;San Esteban;Larraul  ;Larraul  ;Gipuzkoa;48;43,187739;-2,102534
29/06/2016;San Pedro ;San Pedro ;Lasarte  ;Lasarte  ;Gipuzkoa;902;43,267455;-2,020169
28/04/2016;San Prudencio  ;San Prudentzio;Lazkao  ;Lazkao  ;Gipuzkoa;49;43,034324;-2,187379
29/06/2016;San Pedro ;San Pedro ;Leaburu  ;Leaburu  ;Gipuzkoa;50;43,124984;-2,052106
03/05/2016;Siguiente a la Santa Cruz;Santikutz biharamuna;Legazpi  ;Legazpi  ;Gipuzkoa;51;43,054361;-2,333641
05/05/2016;La Ascensión;Azintzio eguna;Legorreta  ;Legorreta  ;Gipuzkoa;52;43,085794;-2,150909
08/09/2016;Virgen de Dorleta  ;Dorletako Ama Birjina;Leintz-Gatzaga  ;Leintz-Gatzaga  ;Gipuzkoa;68;42,987112;-2,568626
14/09/2016;Exaltación de la Sta Cruz  ;Gurutze Santuaren Gorespena;Lezo  ;Lezo  ;Gipuzkoa;53;43,321127;-1,898775
08/09/2016;Fiesta local;Tokiko jaieguna;Lizartza  ;Lizartza  ;Gipuzkoa;54;43,103720;-2,034254
26/07/2016;Santa Ana  ;Santa Ana;Mendaro  ;Mendaro  ;Gipuzkoa;901;43,264167;-2,375500
29/06/2016;San Pedro  ;San Pedro;Mutiloa  ;Mutiloa  ;Gipuzkoa;57;43,022380;-2,272826
22/07/2016;Maria Madalena;Madalena;Mutriku  ;Mutriku  ;Gipuzkoa;56;43,307069;-2,385083
