Fecha;Descripcion es;Descripcion eu;Lugar es;Lugar eu;Provincia;Codigo Eustat;Latitud;Longitud
29/06/2016;San Pedro;Done Petri;Ayala - Menagarai  ;Aiara - Menagarai  ;Álava - Araba;10;43,096299;-3,072769
25/04/2016;San Marcos;Done Marko;Ayala - Menoio  ;Aiara - Menoio  ;Álava - Araba;10;43,069585;-3,072926
24/06/2016;San Juan;Done Joane;Ayala - Murga  ;Aiara - Murga  ;Álava - Araba;10;43,075372;-3,025590
25/01/2016;San Babilás;Done Babilas;Ayala - Olabezar  ;Aiara - Olabezar  ;Álava - Araba;10;43,069997;-3,014813
08/10/2016;Ntra. Sra. del Rosario ;Errosarioko Andra Maria;Ayala - Ozeka  ;Aiara - Ozeka  ;Álava - Araba;10;43,070824;-3,090905
05/08/2016;Las Nieves;Elurretako Andra Maria;Ayala - Quejana  ;Aiara - Kexaa;Álava - Araba;10;43,081485;-3,063094
16/05/2016;San Isidro;Done Isidro;Ayala - Respaldiza  ;Aiara - Arespalditza  ;Álava - Araba;10;43,078065;-3,042931
22/07/2016;La Magdalena;Magdalena Eguna;Ayala - Retes de Llanteno  ;Aiara - Retes de Llanteno  ;Álava - Araba;10;43,091803;-3,099984
18/07/2016;Santa Marina;Dona Marina;Ayala - Salmantón  ;Aiara - Salmanton  ;Álava - Araba;10;43,052629;-3,088347
30/08/2016;San Emeterio;Done Meteri;Ayala - Sojo  ;Aiara - Sojo  ;Álava - Araba;10;43,090730;-3,122839
18/07/2016;Santa Marina ;Dona Marina;Ayala - Zuaza  ;Aiara - Zuaza  ;Álava - Araba;10;43,099672;-3,049447
24/08/2016;San Bartolomé;San Bartolome;Baños de Ebro  ;Mañueta;Álava - Araba;11;42,530290;-2,679144
24/06/2016;San Juan;Done Joane;Barrundia  ;Barrundia  ;Álava - Araba;13;42,916667;-2,491667
08/09/2016;La Natividad;Jaiotzaren eguna;Berantevilla  ;Berantevilla  ;Álava - Araba;14;42,682450;-2,860401
08/09/2016;Santa María Magdalena  ;Santa Maria;Bernedo  ;Bernedo  ;Álava - Araba;16;42,626684;-2,497532
16/05/2016;San Isidro;Done Isidro;Campezo  ;Kanpezu;Álava - Araba;17;42,691944;-2,370000
08/09/2016;La Virgen;Andra maria;Kripan  ;Kripan  ;Álava - Araba;19;42,591666;-2,516079
24/06/2016;San Juan;San Juan;Kuartango  ;Kuartango  ;Álava - Araba;20;42,871389;-2,885556
29/06/2016;San Pedro;San Pedro;Elburgo  ;Burgelu;Álava - Araba;21;42,849564;-2,544762
08/09/2016;Virgen de la Plaza;Plazako Andra Maria;Elciego  ;Zieko;Álava - Araba;22;42,515073;-2,618277
16/08/2016;San Roque;Done Roke;Elvillar;Bilar;Álava - Araba;23;42,570497;-2,544915
29/06/2016;San Pedro;Done Petri;Valle de Arana;Harana;Álava - Araba;;42,752731;-2,312303
29/06/2016;San Pedro;Done Petri;Valle de Arana - Alda;Harana - Alda;Álava - Araba;56;42,752791;-2,330710
16/08/2016;San Roque;Done Roke;Valle de Arana - Contrasta  ;Harana - Kontrasta  ;Álava - Araba;56;42,770305;-2,295079
22/01/2016;San Vicente de Arana;Aranako Done Bikendi;Valle de Arana - San Vicente De Arana  ;Harana - Done Bikendi Arana;Álava - Araba;56;42,744143;-2,360905
24/06/2016;San Juan;Done Joane;Valle de Arana - Ullibarri-Arana  ;Harana - Ullibarri-Harana  ;Álava - Araba;56;42,759570;-2,319402
16/08/2016;San Roque;Done Roke;Iruña de Oca;Iruña Oka;Álava - Araba;901;42,817197;-2,811518
24/06/2016;Fiesta local;Tokiko jaieguna;Iruraiz-Gauna  ;Iruraiz-Gauna  ;Álava - Araba;27;42,822072;-2,495043
